合計
売上: 61806550
費用: 45617262

日付ごとの合計
日付,売上,費用
19000101,2134000,1570058
19000102,1512800,1129163
19000103,1638200,1210393
19000104,1970400,1461773
19000105,1767750,1286211
19000106,1802450,1336613
19000107,2207750,1645931
19000108,2174550,1602702
19000109,2279750,1651919
19000110,1898950,1415600
19000111,2121850,1538758
19000112,2070250,1498825
19000113,2023050,1488278
19000114,2045100,1504153
19000115,2255350,1678613
19000116,1909100,1426249
19000117,1868900,1383699
19000118,1942250,1433028
19000119,2117800,1570323
19000120,1906150,1421749
19000121,2034550,1511129
19000122,1928850,1422801
19000123,2104150,1570757
19000124,2153500,1577014
19000125,1955950,1416738
19000126,1792800,1332237
19000127,2174350,1621344
19000128,1973500,1452518
19000129,2192950,1631388
19000130,1796750,1322328
19000131,2052800,1504970

品目ごとの集計
品目,売上,費用
交通費,,472412
商品A,12278500,7367100
商品B,9643200,7232400
商品C,6975300,5812750
商品D,8110200,5793000
商品E,10830150,9626800
商品F,13969200,9312800
